bibcode,mespos,nbmes,oidref,qual,upvsini,vsini,vsini_err,vsini_err_prec,vsini_prec
"2013A&A...560A..29R",2,,8622972,,,40.0,,,0
"2013A&A...560A..29R",2,,8622975,,,194.0,30.0,0,0
"2013A&A...560A..29R",2,,3112416,,,69.0,30.0,0,0
"2014A&A...564A..39S",4,,8622981,,,295.0,,,0
"2013A&A...560A..29R",3,,8622981,,,429.0,20.0,0,0
"2014A&A...564A..39S",4,,3107274,,,125.0,,,0
"2013A&A...560A..29R",3,,3107274,,,126.0,20.0,0,0
"2013A&A...560A..29R",2,,7893631,,,58.0,8.0,0,0
"2013A&A...560A..29R",2,,7814488,,,223.0,20.0,0,0
"2013A&A...560A..29R",2,,3112437,,,278.0,30.0,0,0
"2014A&A...564A..39S",4,,7814956,,,50.0,,,0
"2013A&A...560A..29R",3,,7814956,,,49.0,12.0,0,0
"2014A&A...564A..39S",4,,8622998,,,45.0,,,0
"2013A&A...560A..29R",3,,8622998,,,47.0,20.0,0,0
"2014A&A...564A..39S",4,,3711119,,,65.0,,,0
"2013A&A...560A..29R",3,,3711119,,,63.0,4.0,0,0
"2014A&A...564A..39S",4,,8623004,,,105.0,,,0
"2013A&A...560A..29R",2,,8622875,,,58.0,14.0,0,0
"2014A&A...564A..39S",3,,3112358,,,150.0,,,0
"2008A&A...479..541H",1,,3117380,,,30.0,,,0
"2017MNRAS.466.3077M",1,,3138955,E,,50.0,,32767,0
"2017MNRAS.466.3077M",1,,3210763,E,,50.0,,32767,0
"2014A&A...562A.135S",2,,173662,,,44.0,,,0
"2014A&A...562A.135S",1,,173662,,,46.0,,,0
"2017MNRAS.466.3077M",1,,11694633,E,,50.0,,32767,0
"2017MNRAS.466.3077M",1,,12493467,E,,100.0,,32767,0
"2017MNRAS.466.3077M",1,,3179846,E,,100.0,,32767,0
"2017MNRAS.466.3077M",1,,12493471,E,,100.0,,32767,0
"2014A&A...562A.135S",2,,32274,,,299.0,,,0
"2014A&A...562A.135S",1,,32274,,,314.0,,,0
"2014A&A...562A.135S",2,,168764,,,171.0,,,0
"2014A&A...562A.135S",1,,168764,,,162.0,,,0
"2017MNRAS.466.3077M",1,,12493470,E,,200.0,,32767,0
"2018A&A...620A..56B",1,,53867,,,140.0,,32767,0
"2018A&A...620A..56B",1,,56324,,,310.0,,32767,0
"2014A&A...562A.135S",1,,114173,,,422.0,,,0
"2014A&A...562A.135S",2,,137890,,,325.0,,,0
"2014A&A...562A.135S",1,,137890,,,308.0,,,0
"2018A&A...620A..56B",1,,52241,,,165.0,,32767,0
"2018A&A...620A..56B",1,,7811713,,,330.0,,32767,0
"2018A&A...620A..56B",1,,8424192,,,370.0,,32767,0
"2018A&A...620A..56B",1,,6814314,,,175.0,,32767,0
"2014A&A...562A.135S",2,,2654580,,,366.0,,,0
"2014A&A...562A.135S",1,,2654580,,,348.0,,,0
"2014A&A...562A.135S",1,,195265,,,299.0,,,0
"2018A&A...620A..56B",1,,56641,,,325.0,,32767,0
"2018A&A...620A..56B",2,,8424097,,,195.0,,32767,0
"2018A&A...620A..56B",1,,8424097,,,255.0,,32767,0
"2018A&A...620A..56B",1,,52242,,,30.0,,32767,0
"2018A&A...620A..56B",1,,53519,,,70.0,,32767,0
"2014A&A...562A.135S",5,,10328,,,123.0,,,0
"2014A&A...562A.135S",4,,10328,,,117.0,,,0
"2014A&A...562A.135S",5,,208612,,,78.0,,,0
"2014A&A...562A.135S",4,,910600,,,138.0,,,0
"2014A&A...562A.135S",5,,830758,,,54.0,,,0
"2014A&A...562A.135S",1,,2515814,,,261.0,,,0
"2014A&A...562A.135S",4,,830758,,,49.0,,,0
"2014A&A...562A.135S",5,,827500,,,127.0,,,0
"2014A&A...562A.135S",1,,2533119,,,206.0,,,0
"2014A&A...564A..39S",2,,3107347,,,80.0,,,0
"2013A&A...560A..29R",1,,3107347,,,82.0,30.0,0,0
"2013A&A...560A..29R",1,,3111859,,,121.0,30.0,0,0
"2013A&A...560A..29R",2,,8622988,,,193.0,30.0,0,0
"2013A&A...560A..29R",2,,8623003,,,97.0,30.0,0,0
"2013A&A...560A..29R",3,,8623008,,,91.0,20.0,0,0
"2014A&A...564A..39S",4,,7814492,,,375.0,,,0
"2013A&A...560A..29R",3,,7814492,,,376.0,30.0,0,0
"2013A&A...560A..29R",3,,3112465,,,51.0,5.0,0,0
